customer_id,operator,plan_type,region,customer_segment,device_type,network_type,internet_plan,payment_method,tenure_months,monthly_bill_bdt,call_minutes_monthly,sms_count_monthly,data_usage_gb_monthly,roaming_enabled,vas_subscribed,auto_renewal,activation_date,last_recharge_date,complaint_type,nps_score,churned
BD0000011,Grameenphone,Prepaid,Dhaka,Rural,Smartphone (Premium),4G,10GB/day,Mobile Banking (bKash),21,50,40.6,38,2.296,0,0,0,03/03/2022,15/03/2022,No Complaint,1,0
BD0000012,Airtel,Postpaid,Dhaka,Rural,Smartphone (Budget),4G,50GB/month,Mobile Banking (bKash),18,775.01,456.1,31,5.143,0,0,1,11/07/2022,14/08/2023,No Complaint,9,0
BD0000013,Banglalink,Prepaid,Dhaka,Rural,Smartphone (Premium),4G,2GB/day,Mobile Banking (bKash),3,509.89,50.3,20,1.661,0,0,1,24/03/2023,19/09/2023,No Complaint,10,0
BD0000014,Grameenphone,Prepaid,Dhaka,Urban,Smartphone (Premium),4G,No Data,Mobile Banking (bKash),1,458.51,150.2,28,0,0,0,0,22/04/2023,16/03/2024,No Complaint,7,0
BD0000015,Grameenphone,Prepaid,Dhaka,Student,Smartphone (Budget),4G,1GB/day,Auto Debit,32,204.82,173.6,38,0.312,0,0,0,31/10/2024,15/01/2023,No Complaint,3,0
BD0000016,Grameenphone,Prepaid,Chattogram,Business,Smartphone (Premium),4G,10GB/day,Rocket,30,100.9,225.4,27,4.834,0,0,0,24/02/2022,20/12/2022,Network Issue,1,0
BD0000017,Grameenphone,Prepaid,Sylhet,Rural,Smartphone (Budget),4G,No Data,Mobile Banking (Nagad),18,50,509.8,33,0,0,1,1,12/02/2023,26/01/2022,No Complaint,8,0
BD0000018,Robi,Prepaid,Sylhet,Business,Smartphone (Budget),4G,5GB/day,Mobile Banking (Nagad),5,324.86,93.5,32,0.662,0,0,0,09/05/2024,31/01/2023,Data Speed,4,1
BD0000019,Grameenphone,Prepaid,Dhaka,Business,Smartphone (Mid),2G,1GB/day,Mobile Banking (Nagad),28,332.76,157.5,30,1.557,0,0,0,28/03/2023,29/03/2024,Network Issue,3,0
BD0000020,Grameenphone,Prepaid,Dhaka,Senior,Smartphone (Budget),4G,5GB/day,Mobile Banking (bKash),21,216.62,217.6,39,0.54,0,0,1,08/07/2024,17/11/2023,No Complaint,10,0
BD0000021,Robi,Prepaid,Khulna,Student,Smartphone (Budget),4G,30GB/month,Mobile Banking (bKash),23,660.12,238.3,43,2.538,0,0,0,24/07/2023,28/08/2024,No Complaint,9,0
BD0000022,Grameenphone,Prepaid,Chattogram,Student,Smartphone (Budget),4G,2GB/day,Auto Debit,58,260.81,263.7,26,1.901,0,0,1,14/01/2022,12/12/2023,No Complaint,1,0
BD0000023,Grameenphone,Prepaid,Mymensingh,Rural,Smartphone (Mid),3G,No Data,Mobile Banking (bKash),7,278.69,643,32,0,0,0,1,23/11/2022,18/05/2023,No Complaint,9,0
BD0000024,Grameenphone,Postpaid,Chattogram,Student,Smartphone (Budget),4G,2GB/day,Auto Debit,21,300,156.7,32,4.274,0,0,1,15/05/2024,23/11/2024,No Complaint,1,0
BD0000025,Robi,Prepaid,Dhaka,Senior,Smartphone (Mid),4G,50GB/month,Mobile Banking (Nagad),6,246.77,29.4,34,2.529,0,0,0,28/11/2023,01/04/2022,No Complaint,3,0
BD0000026,Banglalink,Prepaid,Dhaka,Student,Smartphone (Mid),4G,30GB/month,Mobile Banking (bKash),24,82.1,233.1,35,4.362,0,0,1,24/07/2023,02/01/2023,No Complaint,7,0
BD0000027,Grameenphone,Prepaid,Rangpur,Rural,Smartphone (Mid),5G,5GB/day,Auto Debit,16,50.81,677,27,0.158,0,0,1,15/11/2022,02/08/2022,Billing Error,2,0
BD0000028,Robi,Postpaid,Dhaka,Rural,Smartphone (Mid),3G,No Data,Mobile Banking (bKash),40,626.16,237.3,33,0,0,1,1,17/03/2023,16/01/2023,Call Drop,5,0
BD0000029,Robi,Prepaid,Dhaka,Rural,Feature Phone,5G,1GB/day,Mobile Banking (bKash),18,320.16,119.9,35,1.005,0,0,0,21/11/2023,14/02/2022,No Complaint,5,1
BD0000030,Grameenphone,Prepaid,Dhaka,Rural,Smartphone (Premium),4G,2GB/day,Mobile Banking (bKash),5,360.18,166.1,19,0.266,0,0,1,29/07/2022,24/09/2022,No Complaint,2,1
BD0000031,Robi,Prepaid,Chattogram,Student,Smartphone (Budget),4G,2GB/day,Credit Card,7,464.94,315.8,31,0.2,0,0,1,09/07/2022,04/12/2024,No Complaint,1,0
BD0000032,Grameenphone,Prepaid,Chattogram,Business,Feature Phone,4G,1GB/day,Mobile Banking (Nagad),120,50,132.4,19,0.076,0,0,0,18/02/2024,16/04/2022,No Complaint,10,0
BD0000033,Grameenphone,Postpaid,Sylhet,Student,Smartphone (Premium),4G,1GB/day,Cash,19,1920.71,362.9,21,1.489,0,0,1,18/07/2022,26/11/2022,No Complaint,6,0
BD0000034,Teletalk,Prepaid,Rajshahi,Rural,Smartphone (Premium),4G,1GB/day,Mobile Banking (Nagad),23,414.43,260,33,4.269,0,1,0,06/01/2024,26/05/2022,Customer Service,2,0
BD0000035,Airtel,Postpaid,Rajshahi,Student,Smartphone (Premium),4G,10GB/day,Mobile Banking (bKash),16,1260.07,484.1,28,1.796,0,1,1,06/12/2023,15/04/2023,Billing Error,8,0
BD0000036,Banglalink,Prepaid,Sylhet,Business,Smartphone (Budget),4G,No Data,Auto Debit,55,589.74,87.7,29,0,0,0,1,26/06/2023,19/12/2022,No Complaint,5,0
BD0000037,Grameenphone,Prepaid,Rajshahi,Senior,Smartphone (Premium),4G,2GB/day,Cash,13,384.54,181.1,23,1.022,0,0,0,30/03/2022,07/04/2024,No Complaint,5,0
BD0000038,Grameenphone,Postpaid,Rajshahi,Student,Smartphone (Mid),4G,2GB/day,Credit Card,2,879.67,20.3,31,1.066,0,1,1,29/07/2024,16/07/2023,No Complaint,1,0
BD0000039,Robi,Postpaid,Rangpur,Senior,Smartphone (Mid),4G,5GB/day,Mobile Banking (Nagad),23,1067.04,24,35,5.113,1,0,1,13/09/2022,15/01/2022,No Complaint,6,0
BD0000040,Grameenphone,Prepaid,Chattogram,Business,Feature Phone,4G,No Data,Mobile Banking (Nagad),6,214.6,35.7,32,0,0,0,0,15/02/2024,13/06/2022,No Complaint,1,0
BD0000041,Grameenphone,Prepaid,Rajshahi,Rural,Smartphone (Mid),4G,1GB/day,Rocket,10,306.58,252.5,32,1.693,0,1,0,11/06/2022,07/08/2022,Network Issue,1,0
BD0000042,Robi,Prepaid,Chattogram,Urban,Smartphone (Mid),4G,2GB/day,Auto Debit,23,437.95,159.2,26,2.628,0,0,1,24/08/2023,16/03/2024,No Complaint,7,0
BD0000043,Grameenphone,Prepaid,Rajshahi,Urban,Smartphone (Budget),4G,30GB/month,Mobile Banking (Nagad),77,450.1,150.4,41,10.387,0,0,0,11/01/2024,04/05/2024,No Complaint,3,1
BD0000044,Banglalink,Prepaid,Dhaka,Student,Smartphone (Mid),4G,2GB/day,Mobile Banking (bKash),18,206.24,337.9,31,1.564,0,1,1,29/01/2023,13/10/2022,Call Drop,6,0
BD0000045,Grameenphone,Prepaid,Khulna,Rural,Smartphone (Budget),4G,10GB/day,Mobile Banking (bKash),45,279.58,761,33,4.725,0,0,1,23/05/2022,18/11/2024,No Complaint,10,0
BD0000046,Robi,Prepaid,Sylhet,Senior,Smartphone (Mid),4G,5GB/day,Mobile Banking (bKash),85,162.49,77.6,40,2.512,0,0,1,04/04/2022,05/11/2022,No Complaint,1,0
BD0000047,Grameenphone,Prepaid,Barisal,Business,Smartphone (Budget),3G,5GB/day,Credit Card,19,113.64,20.7,39,5.134,1,0,0,12/04/2023,24/06/2024,No Complaint,5,0
BD0000048,Robi,Prepaid,Chattogram,Senior,Smartphone (Mid),4G,2GB/day,Mobile Banking (bKash),31,345.77,88.1,34,5.154,0,0,1,16/08/2023,11/05/2023,Network Issue,9,0
BD0000049,Robi,Prepaid,Dhaka,Student,Smartphone (Mid),4G,1GB/day,Mobile Banking (Nagad),3,164.22,10.9,27,2.138,1,0,0,13/06/2022,08/05/2022,No Complaint,2,0
BD0000050,Grameenphone,Prepaid,Khulna,Rural,Smartphone (Premium),4G,5GB/day,Credit Card,10,452.32,386.4,38,1.887,0,1,1,22/04/2023,11/07/2022,Call Drop,1,0
BD0000051,Airtel,Prepaid,Rangpur,Rural,Smartphone (Budget),4G,50GB/month,Mobile Banking (Nagad),1,236.31,334.3,27,6.281,0,1,0,26/07/2022,03/01/2024,No Complaint,9,0
BD0000052,Banglalink,Prepaid,Khulna,Student,Smartphone (Budget),4G,2GB/day,Mobile Banking (Nagad),21,271.51,194.3,30,3.3,0,0,1,18/02/2024,03/11/2023,No Complaint,9,0
BD0000053,Teletalk,Prepaid,Rangpur,Student,Smartphone (Mid),3G,1GB/day,Mobile Banking (bKash),8,280.7,1302.7,31,3.086,0,0,1,24/07/2023,26/12/2023,No Complaint,8,0
BD0000054,Banglalink,Postpaid,Dhaka,Rural,Smartphone (Mid),3G,5GB/day,Mobile Banking (bKash),1,1088.81,462.6,30,2.415,0,1,1,17/07/2024,06/03/2022,No Complaint,1,1
BD0000055,Robi,Prepaid,Rangpur,Student,Smartphone (Budget),3G,2GB/day,Cash,104,269.82,9.9,30,1.639,0,0,0,18/01/2024,17/08/2024,No Complaint,1,0
BD0000056,Teletalk,Prepaid,Khulna,Rural,Feature Phone,4G,1GB/day,Auto Debit,9,227.82,538.4,22,1.98,0,0,0,30/11/2022,20/05/2024,No Complaint,10,1
BD0000057,Grameenphone,Prepaid,Sylhet,Urban,Smartphone (Mid),4G,10GB/day,Mobile Banking (Nagad),2,680.85,221.4,21,1.234,0,0,1,29/01/2024,16/07/2022,No Complaint,7,0
BD0000058,Grameenphone,Prepaid,Chattogram,Business,Smartphone (Budget),5G,2GB/day,Mobile Banking (bKash),19,56.06,102.5,28,2.756,0,0,1,29/12/2023,25/05/2023,No Complaint,2,0
BD0000059,Grameenphone,Prepaid,Rajshahi,Student,Smartphone (Budget),3G,5GB/day,Mobile Banking (Nagad),13,120.1,33.9,27,4.356,0,0,1,06/03/2023,10/04/2022,Call Drop,3,0
BD0000060,Grameenphone,Prepaid,Rajshahi,Business,Feature Phone,4G,30GB/month,Cash,5,184.6,52.9,30,4.361,0,0,0,01/07/2023,21/12/2024,No Complaint,6,0
BD0000061,Grameenphone,Postpaid,Chattogram,Senior,Smartphone (Budget),4G,2GB/day,Mobile Banking (bKash),34,301.49,184.4,26,1.989,0,0,1,27/05/2022,01/11/2023,No Complaint,9,0
BD0000062,Grameenphone,Prepaid,Dhaka,Student,Smartphone (Budget),4G,2GB/day,Cash,12,527.79,427.7,26,0.28,1,1,0,17/12/2022,17/11/2024,No Complaint,7,0
BD0000063,Banglalink,Prepaid,Dhaka,Urban,Feature Phone,3G,No Data,Mobile Banking (bKash),12,190.06,248.4,33,0,0,0,0,29/12/2024,10/01/2024,No Complaint,1,1
BD0000064,Grameenphone,Prepaid,Dhaka,Student,Smartphone (Budget),5G,2GB/day,Mobile Banking (bKash),23,320.93,281.9,38,10.821,1,0,0,17/05/2023,11/02/2022,Network Issue,2,0
BD0000065,Grameenphone,Postpaid,Sylhet,Business,Smartphone (Budget),4G,50GB/month,Credit Card,32,1084.92,96,18,1.234,0,1,1,01/12/2022,21/04/2022,No Complaint,2,0
BD0000066,Robi,Prepaid,Chattogram,Urban,Smartphone (Budget),2G,2GB/day,Cash,14,417.18,136.8,37,2.424,0,0,1,04/08/2024,25/08/2022,Network Issue,4,0
BD0000067,Grameenphone,Prepaid,Dhaka,Rural,Smartphone (Premium),3G,5GB/day,Cash,9,623.41,87.3,36,0.482,0,0,1,17/02/2024,04/07/2024,No Complaint,6,1
BD0000068,Banglalink,Prepaid,Dhaka,Student,Smartphone (Mid),4G,2GB/day,Cash,13,311.1,118.3,34,6.976,0,0,0,07/07/2023,22/05/2024,Network Issue,8,0
BD0000069,Grameenphone,Postpaid,Khulna,Student,Smartphone (Mid),5G,2GB/day,Mobile Banking (Nagad),6,1069.96,234,43,7.243,0,0,1,26/03/2023,15/12/2022,No Complaint,8,0
BD0000070,Airtel,Prepaid,Chattogram,Rural,Smartphone (Budget),4G,No Data,Mobile Banking (bKash),9,509.48,480.7,32,0,0,1,0,27/10/2023,09/03/2022,Customer Service,6,0
BD0000071,Banglalink,Prepaid,Rajshahi,Urban,Smartphone (Mid),3G,1GB/day,Mobile Banking (Nagad),26,394.58,58,20,3.345,1,0,0,25/04/2022,02/04/2022,Customer Service,5,0
BD0000072,Grameenphone,Postpaid,Khulna,Business,Smartphone (Premium),4G,5GB/day,Mobile Banking (bKash),9,894.61,334.5,32,0.753,0,0,1,15/04/2023,06/08/2024,No Complaint,2,0
BD0000073,Grameenphone,Prepaid,Mymensingh,Rural,Smartphone (Mid),3G,No Data,Cash,9,62.41,258.8,31,0,0,0,0,07/03/2022,20/11/2022,No Complaint,4,0
BD0000074,Banglalink,Prepaid,Khulna,Rural,Smartphone (Mid),4G,50GB/month,Credit Card,1,135.38,441.6,36,0.963,0,0,0,09/10/2023,29/07/2024,No Complaint,2,0
BD0000075,Robi,Prepaid,Mymensingh,Rural,Smartphone (Budget),2G,30GB/month,Auto Debit,9,246.71,35.1,24,1.218,0,0,0,01/04/2024,04/01/2022,No Complaint,9,0
BD0000076,Robi,Prepaid,Khulna,Senior,Smartphone (Mid),3G,1GB/day,Mobile Banking (Nagad),23,214.27,107.6,28,1.113,1,0,0,03/07/2023,27/01/2022,Billing Error,2,0
BD0000077,Banglalink,Prepaid,Khulna,Business,Smartphone (Budget),4G,5GB/day,Mobile Banking (bKash),11,405.91,185.7,40,0.823,0,0,1,16/05/2022,06/11/2024,No Complaint,10,0
BD0000078,Grameenphone,Prepaid,Dhaka,Rural,Smartphone (Budget),4G,5GB/day,Mobile Banking (bKash),3,105.51,32,23,0.826,0,0,1,09/03/2023,13/01/2024,Customer Service,1,0
BD0000079,Grameenphone,Prepaid,Dhaka,Senior,Feature Phone,4G,1GB/day,Mobile Banking (bKash),3,70,8.3,26,1.052,0,0,0,07/10/2023,18/10/2022,Data Speed,8,0
BD0000080,Grameenphone,Prepaid,Dhaka,Student,Smartphone (Budget),4G,2GB/day,Auto Debit,5,348.01,123.5,30,1.541,0,1,0,12/03/2023,01/12/2023,No Complaint,3,0
BD0000081,Banglalink,Prepaid,Khulna,Senior,Smartphone (Premium),4G,2GB/day,Credit Card,7,505.67,361.6,19,4.364,0,0,1,19/10/2024,15/08/2023,No Complaint,10,0
BD0000082,Robi,Postpaid,Rajshahi,Business,Smartphone (Premium),4G,5GB/day,Auto Debit,14,627.62,769.1,30,3.452,1,0,1,21/03/2024,20/04/2024,No Complaint,5,0
BD0000083,Grameenphone,Prepaid,Rajshahi,Student,Feature Phone,4G,10GB/day,Auto Debit,13,400.8,1143.4,28,0.006,0,0,1,28/07/2024,09/02/2023,Network Issue,10,0
BD0000084,Grameenphone,Prepaid,Rajshahi,Student,Smartphone (Mid),4G,1GB/day,Mobile Banking (bKash),6,265.43,304.9,32,9.19,0,1,1,20/10/2022,16/03/2022,Billing Error,9,0
BD0000085,Grameenphone,Prepaid,Khulna,Urban,Smartphone (Premium),4G,30GB/month,Mobile Banking (bKash),24,234.28,396.5,20,1.307,1,0,1,27/06/2023,20/12/2024,No Complaint,10,0
BD0000086,Grameenphone,Prepaid,Sylhet,Rural,Smartphone (Budget),3G,No Data,Auto Debit,30,50,372.5,20,0,0,0,1,13/10/2022,26/05/2024,No Complaint,9,0
BD0000087,Robi,Prepaid,Khulna,Senior,Smartphone (Budget),4G,5GB/day,Cash,22,478.85,326.9,31,2.09,0,0,0,21/05/2023,17/09/2023,Network Issue,9,0
BD0000088,Robi,Prepaid,Rajshahi,Business,Smartphone (Mid),3G,5GB/day,Auto Debit,1,292.73,346.1,28,1.787,0,0,0,23/06/2023,11/06/2024,Customer Service,8,0
BD0000089,Banglalink,Postpaid,Dhaka,Student,Smartphone (Mid),4G,2GB/day,Mobile Banking (bKash),8,487.95,30.3,26,6.664,0,1,1,27/05/2024,12/02/2024,No Complaint,3,0
BD0000090,Robi,Prepaid,Khulna,Rural,Smartphone (Mid),4G,2GB/day,Credit Card,1,191.25,62,35,6.728,0,1,0,28/03/2024,13/01/2023,Data Speed,2,0
BD0000091,Grameenphone,Prepaid,Dhaka,Business,Feature Phone,4G,1GB/day,Rocket,20,190.25,224.6,26,1.648,0,0,0,12/01/2024,15/08/2023,No Complaint,8,0
BD0000092,Robi,Postpaid,Khulna,Student,Smartphone (Mid),3G,2GB/day,Mobile Banking (bKash),28,1043.67,291.2,30,4.921,1,0,1,26/03/2023,21/01/2023,No Complaint,9,0
BD0000093,Banglalink,Prepaid,Dhaka,Student,Smartphone (Budget),3G,2GB/day,Auto Debit,13,289.64,107.4,25,5.121,0,1,0,11/10/2022,22/07/2023,No Complaint,6,0
BD0000094,Robi,Prepaid,Chattogram,Student,Smartphone (Premium),5G,2GB/day,Credit Card,2,57.3,44,22,0.775,1,0,0,09/11/2024,15/08/2022,No Complaint,2,0
BD0000095,Banglalink,Prepaid,Rajshahi,Business,Smartphone (Budget),4G,1GB/day,Mobile Banking (bKash),7,249.78,95.3,39,3.901,0,1,1,07/10/2024,03/05/2023,Call Drop,7,0
BD0000096,Robi,Prepaid,Sylhet,Business,Smartphone (Premium),3G,Unlimited,Mobile Banking (bKash),1,115.44,34.6,23,1.965,0,0,0,06/07/2022,26/06/2023,No Complaint,10,0
BD0000097,Robi,Prepaid,Khulna,Student,Smartphone (Budget),4G,2GB/day,Cash,5,308.11,113.8,28,6.464,0,0,0,07/04/2022,25/10/2022,No Complaint,4,1
BD0000098,Grameenphone,Postpaid,Sylhet,Rural,Feature Phone,4G,No Data,Mobile Banking (bKash),32,916.57,323.7,36,0,0,0,1,13/08/2022,19/11/2023,No Complaint,1,0
BD0000099,Grameenphone,Prepaid,Barisal,Senior,Smartphone (Mid),2G,2GB/day,Mobile Banking (bKash),52,503.18,44.6,30,2.615,1,0,0,10/11/2022,03/01/2024,No Complaint,5,0
BD0000100,Grameenphone,Prepaid,Barisal,Senior,Smartphone (Mid),4G,30GB/month,Mobile Banking (bKash),61,281.45,115.2,24,0.465,0,0,0,24/11/2022,22/08/2023,No Complaint,2,0
BD0000101,Grameenphone,Postpaid,Barisal,Business,Smartphone (Mid),4G,5GB/day,Auto Debit,17,780.88,6.2,27,0.987,0,1,1,14/05/2024,28/12/2023,Data Speed,5,0
BD0000102,Robi,Prepaid,Dhaka,Student,Smartphone (Budget),4G,5GB/day,Cash,16,129.53,92.3,35,6.696,0,1,0,11/05/2022,29/01/2024,No Complaint,9,0
BD0000103,Grameenphone,Prepaid,Sylhet,Rural,Smartphone (Mid),4G,2GB/day,Mobile Banking (Nagad),20,493.17,79.7,25,0.775,0,0,0,28/02/2024,27/12/2022,No Complaint,6,1
BD0000104,Robi,Prepaid,Dhaka,Business,Feature Phone,5G,2GB/day,Credit Card,50,175.53,16.2,28,2.733,0,0,1,21/02/2024,16/11/2022,No Complaint,1,1
BD0000105,Banglalink,Postpaid,Rangpur,Urban,Smartphone (Premium),4G,5GB/day,Mobile Banking (Nagad),30,1121.92,345,37,2.603,1,0,1,16/08/2024,07/07/2022,No Complaint,10,0
BD0000106,Grameenphone,Postpaid,Dhaka,Business,Smartphone (Premium),4G,2GB/day,Mobile Banking (bKash),13,944.63,140.8,25,6.168,1,1,1,19/12/2024,30/05/2024,No Complaint,10,0
BD0000107,Grameenphone,Prepaid,Barisal,Rural,Smartphone (Budget),4G,Unlimited,Mobile Banking (Nagad),5,156.93,58,32,2.962,0,0,1,30/05/2023,29/09/2024,Network Issue,10,0
BD0000108,Banglalink,Prepaid,Sylhet,Senior,Feature Phone,3G,1GB/day,Mobile Banking (Nagad),2,642.98,10.1,36,0.596,0,0,1,24/01/2022,04/10/2022,No Complaint,10,0
BD0000109,Grameenphone,Postpaid,Chattogram,Student,Smartphone (Mid),4G,2GB/day,Mobile Banking (Nagad),28,718.9,60.8,42,7.924,0,0,1,23/08/2022,24/09/2022,No Complaint,3,0
BD0000110,Grameenphone,Prepaid,Mymensingh,Business,Smartphone (Mid),4G,1GB/day,Cash,36,145.3,55.1,37,0.345,1,1,0,01/07/2023,19/05/2023,No Complaint,6,1
BD0000111,Grameenphone,Prepaid,Dhaka,Student,Smartphone (Mid),4G,50GB/month,Mobile Banking (Nagad),22,269.22,43.1,28,0.598,1,0,1,28/11/2023,15/09/2023,No Complaint,2,0
BD0000112,Grameenphone,Prepaid,Dhaka,Senior,Feature Phone,4G,Unlimited,Mobile Banking (bKash),72,409.8,309.2,29,0.497,0,0,1,17/08/2022,05/03/2022,No Complaint,6,0
BD0000113,Teletalk,Prepaid,Dhaka,Business,Feature Phone,4G,No Data,Rocket,3,491,68.8,24,0,0,1,0,25/08/2023,31/12/2022,No Complaint,5,0
BD0000114,Banglalink,Postpaid,Dhaka,Business,Smartphone (Mid),4G,30GB/month,Mobile Banking (Nagad),8,831.19,217.6,24,5.667,0,1,1,09/06/2024,27/07/2024,No Complaint,7,0
BD0000115,Robi,Prepaid,Dhaka,Senior,Smartphone (Premium),4G,10GB/day,Cash,1,338.08,375.3,30,2.499,0,0,0,20/11/2022,09/01/2024,Billing Error,3,0
BD0000116,Banglalink,Prepaid,Sylhet,Business,Smartphone (Mid),4G,50GB/month,Auto Debit,1,171.83,41.7,35,0.309,0,0,0,18/07/2024,27/07/2024,No Complaint,4,0
BD0000117,Banglalink,Prepaid,Sylhet,Student,Smartphone (Budget),4G,30GB/month,Credit Card,9,432.26,94.3,33,0.019,0,1,1,07/01/2022,25/01/2023,No Complaint,4,0
BD0000118,Grameenphone,Prepaid,Khulna,Rural,Feature Phone,3G,Unlimited,Mobile Banking (bKash),16,254.37,11.3,26,2.095,0,0,0,24/06/2023,20/05/2024,Data Speed,8,0
BD0000119,Banglalink,Prepaid,Chattogram,Student,Smartphone (Mid),4G,No Data,Rocket,2,469.24,18.8,30,0,0,1,1,22/10/2024,05/05/2023,No Complaint,8,0
BD0000120,Robi,Prepaid,Rajshahi,Senior,Smartphone (Premium),4G,10GB/day,Mobile Banking (bKash),8,50,65.3,28,0.287,0,0,0,01/01/2023,23/07/2024,No Complaint,5,0
BD0000121,Banglalink,Prepaid,Rajshahi,Senior,Feature Phone,4G,2GB/day,Mobile Banking (Nagad),76,210.39,94.2,36,0.005,1,0,0,05/11/2024,04/10/2023,No Complaint,1,0
BD0000122,Banglalink,Prepaid,Dhaka,Urban,Feature Phone,4G,No Data,Mobile Banking (bKash),14,524.56,212.2,37,0,0,0,1,06/08/2022,27/10/2023,Billing Error,7,0
BD0000123,Grameenphone,Prepaid,Chattogram,Rural,Feature Phone,4G,10GB/day,Mobile Banking (Nagad),11,338.62,280.2,31,6.309,0,0,0,04/09/2023,28/03/2023,Network Issue,5,1
BD0000124,Grameenphone,Prepaid,Sylhet,Student,Smartphone (Mid),4G,1GB/day,Mobile Banking (bKash),1,176.2,239.1,35,0.004,0,1,0,05/11/2024,01/10/2022,Billing Error,1,0
BD0000125,Grameenphone,Prepaid,Dhaka,Student,Smartphone (Budget),4G,1GB/day,Mobile Banking (Nagad),17,69.06,15.1,22,0.624,0,0,0,12/02/2023,08/07/2023,No Complaint,1,0
BD0000126,Grameenphone,Prepaid,Dhaka,Business,Feature Phone,4G,1GB/day,Credit Card,20,243.05,235.8,35,0.339,0,0,0,10/11/2022,23/02/2024,No Complaint,2,0
BD0000127,Banglalink,Prepaid,Khulna,Urban,Feature Phone,4G,2GB/day,Mobile Banking (Nagad),67,537.28,210.8,33,0.375,0,0,0,05/02/2024,27/02/2024,Billing Error,9,0
BD0000128,Banglalink,Prepaid,Sylhet,Student,Smartphone (Budget),4G,10GB/day,Rocket,3,824.05,76.6,31,0.268,0,0,1,27/11/2022,03/04/2024,Network Issue,2,0
BD0000129,Grameenphone,Prepaid,Rajshahi,Urban,Feature Phone,4G,2GB/day,Rocket,6,231.55,58.8,35,3.425,1,0,0,22/12/2024,08/10/2024,No Complaint,10,0
BD0000130,Robi,Postpaid,Khulna,Rural,Feature Phone,4G,1GB/day,Rocket,52,574.86,25.4,23,0.743,0,0,1,02/01/2022,20/02/2024,No Complaint,8,0
BD0000131,Grameenphone,Prepaid,Mymensingh,Business,Smartphone (Budget),4G,2GB/day,Mobile Banking (bKash),44,50,251.7,33,0.958,0,0,0,26/10/2023,29/05/2022,No Complaint,2,0
BD0000132,Grameenphone,Prepaid,Rajshahi,Senior,Feature Phone,4G,5GB/day,Auto Debit,8,193.2,4.7,34,3.459,0,0,1,27/09/2024,20/03/2023,No Complaint,2,0
BD0000133,Grameenphone,Prepaid,Chattogram,Rural,Smartphone (Mid),4G,2GB/day,Cash,25,549.19,129.3,33,1.549,0,0,1,09/02/2022,12/04/2024,Call Drop,9,0
BD0000134,Grameenphone,Prepaid,Mymensingh,Student,Smartphone (Budget),4G,2GB/day,Mobile Banking (bKash),4,356.21,498.2,19,2.018,0,0,0,18/08/2022,20/06/2022,No Complaint,4,0
BD0000135,Teletalk,Postpaid,Rajshahi,Business,Smartphone (Premium),4G,No Data,Mobile Banking (bKash),14,861.47,106.3,33,0,0,0,1,14/01/2024,25/07/2024,Billing Error,5,0
BD0000136,Grameenphone,Prepaid,Dhaka,Rural,Smartphone (Budget),4G,30GB/month,Rocket,38,299.1,171.7,33,3.692,0,0,1,22/09/2023,10/04/2023,No Complaint,8,0
